Ag (Silver) - Johnson and Christy

wavelength (nm), Im(eps)
900, 1.25843
896.858, 1.24747
893.738, 1.23663
892.086, 1.23092
890.639, 1.22591
887.562, 1.21531
884.506, 1.20481
881.471, 1.19443
878.456, 1.18416
875.463, 1.17399
872.489, 1.16393
869.536, 1.15398
866.602, 1.14413
863.689, 1.13437
860.795, 1.12472
857.92, 1.11517
855.064, 1.10571
852.227, 1.09634
849.41, 1.08707
846.61, 1.07789
843.829, 1.06881
841.066, 1.05981
838.322, 1.05089
835.595, 1.04207
832.886, 1.03333
830.194, 1.02467
827.52, 1.0161
824.862, 1.00761
822.222, 0.999196
821.192, 0.995921
819.599, 0.990863
816.992, 0.982608
814.402, 0.97443
811.828, 0.966327
809.271, 0.958299
806.729, 0.950344
804.204, 0.942462
801.694, 0.934651
799.2, 0.92691
796.721, 0.919239
794.258, 0.911636
791.81, 0.9041
789.377, 0.896631
786.958, 0.889227
784.555, 0.881888
782.166, 0.874612
779.792, 0.8674
777.432, 0.860249
775.086, 0.853159
772.755, 0.84613
770.437, 0.83916
768.133, 0.832249
765.843, 0.825396
763.567, 0.818599
761.304, 0.811859
759.054, 0.805175
756.818, 0.798545
756.098, 0.796412
754.595, 0.79197
752.385, 0.785448
750.188, 0.778979
748.003, 0.772561
745.832, 0.766195
743.672, 0.75988
741.526, 0.753614
739.391, 0.747399
737.269, 0.741231
735.159, 0.735112
733.062, 0.729041
730.976, 0.723016
728.901, 0.717038
726.839, 0.711105
724.788, 0.705217
722.749, 0.699375
720.721, 0.693576
718.705, 0.687821
716.7, 0.682108
714.706, 0.676438
712.723, 0.670811
710.751, 0.665224
708.79, 0.659679
706.84, 0.654174
704.9, 0.648709
704.545, 0.64771
702.971, 0.643283
701.053, 0.637896
699.145, 0.632548
697.247, 0.627238
695.36, 0.621966
693.482, 0.616731
691.615, 0.611533
689.758, 0.606371
687.911, 0.601245
686.074, 0.596155
684.247, 0.5911
682.429, 0.58608
680.621, 0.581094
678.822, 0.576142
677.033, 0.571223
675.253, 0.566338
673.483, 0.561486
671.722, 0.556666
669.97, 0.551878
668.227, 0.547122
666.494, 0.542398
664.769, 0.537705
663.053, 0.533042
661.346, 0.52841
659.648, 0.523808
659.574, 0.52361
657.958, 0.519237
656.277, 0.514694
654.605, 0.510181
652.941, 0.505697
651.286, 0.501241
649.639, 0.496814
648, 0.492414
646.37, 0.488043
644.747, 0.483699
643.133, 0.479382
641.527, 0.475092
639.929, 0.470829
638.339, 0.466592
636.756, 0.462382
635.182, 0.458197
633.615, 0.454038
632.056, 0.449905
630.505, 0.445797
628.961, 0.441713
627.425, 0.437655
625.896, 0.433621
624.375, 0.429611
622.861, 0.425625
621.355, 0.421663
619.855, 0.417725
618.363, 0.41381
616.915, 0.410016
616.878, 0.409919
615.4, 0.40605
613.93, 0.402204
612.466, 0.398381
611.009, 0.394581
609.559, 0.390802
608.116, 0.387046
606.68, 0.383312
605.251, 0.379599
603.828, 0.375908
602.412, 0.372238
601.003, 0.368589
599.6, 0.364962
598.204, 0.361355
596.814, 0.357769
595.43, 0.354203
