Ag (Silver) - Johnson and Christy

wavelength (nm), Re(eps)
900, -40.6735
896.858, -40.3636
893.738, -40.0569
892.086, -39.8951
890.639, -39.7535
887.562, -39.4532
884.506, -39.156
881.471, -38.8618
878.456, -38.5707
875.463, -38.2825
872.489, -37.9973
869.536, -37.715
866.602, -37.4355
863.689, -37.1589
860.795, -36.885
857.92, -36.6139
855.064, -36.3455
852.227, -36.0797
849.41, -35.8166
846.61, -35.5561
843.829, -35.2981
841.066, -35.0427
838.322, -34.7898
835.595, -34.5393
832.886, -34.2913
830.194, -34.0456
827.52, -33.8024
824.862, -33.5614
822.222, -33.3228
821.192, -33.2299
819.599, -33.0864
816.992, -32.8523
814.402, -32.6204
811.828, -32.3907
809.271, -32.1632
806.729, -31.9378
804.204, -31.7145
801.694, -31.4933
799.2, -31.2742
796.721, -31.057
794.258, -30.8419
791.81, -30.6288
789.377, -30.4176
786.958, -30.2083
784.555, -30.0009
782.166, -29.7955
779.792, -29.5918
777.432, -29.3901
775.086, -29.1901
772.755, -28.9919
770.437, -28.7955
768.133, -28.6009
765.843, -28.4079
763.567, -28.2167
761.304, -28.0272
759.054, -27.8393
756.818, -27.6531
756.098, -27.5932
754.595, -27.4685
752.385, -27.2855
750.188, -27.1041
748.003, -26.9243
745.832, -26.746
743.672, -26.5693
741.526, -26.394
739.391, -26.2203
737.269, -26.048
735.159, -25.8772
733.062, -25.7079
730.976, -25.54
728.901, -25.3735
726.839, -25.2083
724.788, -25.0446
722.749, -24.8822
720.721, -24.7212
718.705, -24.5615
716.7, -24.4032
714.706, -24.2461
712.723, -24.0903
710.751, -23.9358
708.79, -23.7826
706.84, -23.6306
704.9, -23.4799
704.545, -23.4523
702.971, -23.3303
701.053, -23.182
699.145, -23.0348
697.247, -22.8889
695.36, -22.7441
693.482, -22.6004
691.615, -22.4579
689.758, -22.3165
687.911, -22.1763
686.074, -22.0371
684.247, -21.899
682.429, -21.762
680.621, -21.6261
678.822, -21.4912
677.033, -21.3574
675.253, -21.2246
673.483, -21.0929
671.722, -20.9621
669.97, -20.8323
668.227, -20.7036
666.494, -20.5758
664.769, -20.449
663.053, -20.3231
661.346, -20.1982
659.648, -20.0742
659.574, -20.0689
657.958, -19.9512
656.277, -19.8291
654.605, -19.7079
652.941, -19.5876
651.286, -19.4682
649.639, -19.3496
648, -19.232
646.37, -19.1152
644.747, -18.9992
643.133, -18.8841
641.527, -18.7699
639.929, -18.6565
638.339, -18.5439
636.756, -18.4321
635.182, -18.3211
633.615, -18.2109
632.056, -18.1015
630.505, -17.9928
628.961, -17.885
627.425, -17.7779
625.896, -17.6716
624.375, -17.566
622.861, -17.4611
621.355, -17.357
619.855, -17.2537
618.363, -17.151
616.915, -17.0516
616.878, -17.0491
615.4, -16.9478
613.93, -16.8473
612.466, -16.7474
611.009, -16.6483
609.559, -16.5498
608.116, -16.452
606.68, -16.3548
605.251, -16.2583
603.828, -16.1625
602.412, -16.0673
601.003, -15.9728
599.6, -15.8788
598.204, -15.7856
596.814, -15.6929
595.43, -15.6008
594.054, -15.5094
592.683, -15.4186
591.319, -15.3283
589.961, -15.2387
588.609, -15.1496
587.263, -15.0611
585.924, -14.9732
584.59, -14.8859
583.263, -14.7991
582.16, -14.7271
581.942, -14.7129
580.626, -14.6273
579.317, -14.5422
578.014, -14.4576
576.716, -14.3736
575.424, -14.2901
574.138, -14.2071
572.858, -14.1247
571.583, -14.0428
570.314, -13.9614
569.051, -13.8805
567.793, -13.8001
566.541, -13.7202
565.294, -13.6408
564.053, -13.5619
562.817, -13.4835
561.587, -13.4056
560.361, -13.3281
559.142, -13.2511
557.927, -13.1746
556.718, -13.0986
555.514, -13.023
554.316, -12.9478
553.122, -12.8731
551.934, -12.7989
550.75, -12.7251
549.572, -12.6518
548.673, -12.5959
548.399, -12.5789
547.231, -12.5064
546.067, -12.4343
544.909, -12.3627
543.756, -12.2915
542.607, -12.2207
541.463, -12.1503
540.325, -12.0803
539.19, -12.0108
538.061, -11.9416
536.936, -11.8728
535.816, -11.8044
534.701, -11.7365
533.591, -11.6689
532.484, -11.6017
531.383, -11.5348
530.286, -11.4684
529.194, -11.4023
528.106, -11.3366
527.022, -11.2712
525.943, -11.2063
524.869, -11.1416
523.798, -11.0774
522.733, -11.0135
521.671, -10.9499
521.008, -10.9103
520.614, -10.8867
519.561, -10.8239
518.512, -10.7614
517.468, -10.6992
516.427, -10.6373
515.391, -10.5758
514.359, -10.5146
513.331, -10.4538
512.308, -10.3933
511.288, -10.3331
510.272, -10.2732
509.261, -10.2136
508.253, -10.1544
507.25, -10.0954
506.25, -10.0368
505.254, -9.97844
504.262, -9.92041
503.275, -9.86268
502.291, -9.80525
501.31, -9.74811
500.334, -9.69127
499.361, -9.63471
498.392, -9.57844
497.427, -9.52246
496.466, -9.46676
496, -9.43978
495.508, -9.41134
494.554, -9.35619
493.604, -9.30132
492.658, -9.24673
491.715, -9.1924
490.775, -9.13834
489.839, -9.08455
488.907, -9.03102
487.978, -8.97775
487.053, -8.92474
486.131, -8.87199
485.213, -8.81949
484.298, -8.76724
483.387, -8.71524
482.479, -8.66349
481.575, -8.61199
480.674, -8.56072
479.776, -8.5097
478.881, -8.45892
477.99, -8.40838
477.103, -8.35807
476.218, -8.308
475.337, -8.25815
474.459, -8.20854
473.584, -8.15915
472.713, -8.10998
471.845, -8.06104
471.483, -8.04067
470.98, -8.01233
470.118, -7.96383
469.259, -7.91554
468.403, -7.86748
467.551, -7.81962
466.701, -7.77198
465.855, -7.72455
465.012, -7.67733
464.171, -7.63031
463.334, -7.5835
462.5, -7.53689
461.669, -7.49048
460.841, -7.44427
460.015, -7.39826
459.193, -7.35244
458.374, -7.30682
457.557, -7.26139
456.744, -7.21615
455.933, -7.1711
455.125, -7.12623
454.32, -7.08156
453.518, -7.03706
452.719, -6.99275
451.923, -6.94862
451.129, -6.90467
450.909, -6.8925
450.338, -6.8609
449.55, -6.8173
448.765, -6.77388
447.982, -6.73063
447.202, -6.68755
446.425, -6.64464
445.651, -6.6019
444.879, -6.55933
444.11, -6.51692
443.343, -6.47468
442.579, -6.43259
441.818, -6.39068
441.06, -6.34891
440.304, -6.30731
439.55, -6.26587
438.799, -6.22458
438.051, -6.18344
437.305, -6.14246
436.562, -6.10163
435.822, -6.06095
435.083, -6.02041
434.348, -5.98003
433.615, -5.93979
432.884, -5.89969
432.156, -5.85974
431.43, -5.81993
430.707, -5.78026
430.556, -5.77198
429.986, -5.74073
429.267, -5.70134
428.551, -5.66208
427.837, -5.62296
427.126, -5.58398
426.417, -5.54512
425.71, -5.5064
425.006, -5.46781
424.304, -5.42935
423.604, -5.39102
422.907, -5.35282
422.212, -5.31474
421.519, -5.27679
420.828, -5.23896
420.14, -5.20125
419.454, -5.16367
418.77, -5.1262
418.089, -5.08886
417.409, -5.05163
416.732, -5.01452
416.057, -4.97752
415.385, -4.94064
414.714, -4.90388
414.046, -4.86722
413.379, -4.83068
413.333, -4.82816
412.715, -4.79425
412.053, -4.75793
411.393, -4.72172
410.735, -4.68561
410.08, -4.64961
409.426, -4.61372
408.775, -4.57793
408.125, -4.54225
407.478, -4.50667
406.833, -4.47119
406.189, -4.43581
405.548, -4.40053
404.909, -4.36535
404.272, -4.33026
403.636, -4.29528
403.003, -4.26039
402.372, -4.2256
401.743, -4.1909
401.115, -4.15629
400.49, -4.12178
399.867, -4.08736
399.245, -4.05303
398.626, -4.01879
398.008, -3.98464
397.436, -3.95299
397.392, -3.95057
396.778, -3.9166
396.167, -3.88271
395.557, -3.84891
394.948, -3.81519
394.342, -3.78156
393.738, -3.74802
393.135, -3.71455
392.534, -3.68117
391.935, -3.64787
391.338, -3.61465
390.743, -3.58151
390.15, -3.54845
389.558, -3.51547
388.968, -3.48257
388.38, -3.44975
387.794, -3.417
387.209, -3.38433
386.627, -3.35174
386.046, -3.31922
385.466, -3.28677
384.889, -3.2544
384.313, -3.2221
383.739, -3.18988
383.166, -3.15772
382.596, -3.12564
382.027, -3.09363
381.538, -3.06614
381.459, -3.06169
380.894, -3.02982
380.33, -2.99802
379.768, -2.96629
379.207, -2.93463
378.648, -2.90304
378.091, -2.87151
377.535, -2.84006
376.981, -2.80867
376.429, -2.77734
375.878, -2.74608
375.329, -2.71489
374.781, -2.68377
374.235, -2.65271
373.691, -2.62171
373.148, -2.59078
372.607, -2.55991
372.067, -2.52911
371.529, -2.49837
370.992, -2.4677
370.457, -2.43709
369.924, -2.40654
369.392, -2.37606
368.862, -2.34563
368.333, -2.31528
367.953, -2.29344
367.805, -2.28498
367.279, -2.25475
366.755, -2.22457
366.232, -2.19447
365.711, -2.16442
365.191, -2.13443
364.672, -2.10451
364.156, -2.07465
363.64, -2.04486
363.126, -2.01512
362.613, -1.98545
362.102, -1.95584
361.593, -1.92629
361.084, -1.89681
360.578, -1.86739
360.072, -1.83803
359.568, -1.80874
359.065, -1.77951
358.564, -1.75034
358.065, -1.72124
357.566, -1.6922
357.069, -1.66323
356.573, -1.63432
356.079, -1.60548
355.586, -1.5767
355.095, -1.54799
354.605, -1.51935
354.286, -1.50071
354.116, -1.49077
353.628, -1.46226
353.142, -1.43382
352.657, -1.40545
352.174, -1.37715
351.692, -1.34892
351.211, -1.32076
350.731, -1.29267
350.253, -1.26466
349.776, -1.23671
349.301, -1.20885
348.826, -1.18105
348.353, -1.15333
347.882, -1.12569
347.411, -1.09812
346.942, -1.07064
346.474, -1.04323
346.007, -1.0159
345.542, -0.988653
345.078, -0.961489
344.615, -0.934408
344.153, -0.907411
343.693, -0.8805
343.233, -0.853675
342.775, -0.826939
342.541, -0.813286
342.319, -0.800293
341.863, -0.773737
341.409, -0.747273
340.956, -0.720903
340.504, -0.694627
340.053, -0.668448
339.603, -0.642367
339.155, -0.616385
338.708, -0.590504
338.262, -0.564725
337.817, -0.539051
337.373, -0.513483
336.931, -0.488022
336.49, -0.46267
336.049, -0.43743
335.61, -0.412303
335.172, -0.387291
334.736, -0.362395
334.3, -0.337618
333.866, -0.312962
333.432, -0.288429
333, -0.26402
332.569, -0.239738
332.139, -0.215585
331.71, -0.191564
331.551, -0.182664
331.282, -0.167676
330.856, -0.143923
330.43, -0.120308
330.006, -0.096834
329.582, -0.0735021
329.16, -0.0503152
328.739, -0.0272756
328.318, -0.0043858
327.899, 0.0183517
327.481, 0.0409344
327.064, 0.0633598
326.649, 0.0856253
326.234, 0.107728
325.82, 0.129666
325.407, 0.151436
324.995, 0.173036
324.585, 0.194462
324.175, 0.215712
323.767, 0.236784
323.359, 0.257674
322.953, 0.27838
322.547, 0.298899
322.143, 0.319227
321.739, 0.339363
321.337, 0.359303
320.935, 0.379045
320.535, 0.398585
320.413, 0.404474
320.135, 0.41792
319.737, 0.437048
319.339, 0.455965
318.943, 0.47467
318.547, 0.493158
318.153, 0.511426
317.759, 0.529473
317.367, 0.547294
316.975, 0.564887
316.585, 0.582249
316.195, 0.599377
315.806, 0.616267
315.418, 0.632918
315.032, 0.649326
314.646, 0.665488
314.261, 0.681401
313.877, 0.697063
313.494, 0.71247
313.112, 0.72762
312.73, 0.74251
312.35, 0.757137
311.971, 0.771498
311.592, 0.785591
311.215, 0.799413
310.838, 0.812961
310.777, 0.815148
310.463, 0.826233
310.088, 0.839226
309.714, 0.851938
309.341, 0.864366
308.969, 0.876507
308.598, 0.888361
308.228, 0.899923
307.858, 0.911192
307.49, 0.922166
307.122, 0.932842
306.755, 0.94322
306.39, 0.953295
306.025, 0.963068
305.66, 0.972535
305.297, 0.981695
304.935, 0.990547
304.573, 0.999089
304.212, 1.00732
303.853, 1.01524
303.494, 1.02284
303.136, 1.03013
302.778, 1.0371
302.422, 1.04375
302.066, 1.05009
301.711, 1.0561
301.357, 1.0618
301.004, 1.06717
300.971, 1.06766
300.652, 1.07222
300.301, 1.07695
299.95, 1.08136
299.6, 1.08545
299.251, 1.08921
298.903, 1.09266
298.556, 1.09578
298.209, 1.09858
297.863, 1.10105
297.518, 1.10321
297.174, 1.10505
296.831, 1.10657
296.488, 1.10777
296.146, 1.10865
295.805, 1.10921
295.465, 1.10946
295.126, 1.1094
294.787, 1.10902
294.449, 1.10834
294.112, 1.10734
293.776, 1.10604
293.44, 1.10443
293.105, 1.10252
292.771, 1.10031
292.453, 1.09792
292.438, 1.0978
292.105, 1.095
291.773, 1.0919
291.442, 1.08851
291.112, 1.08483
290.783, 1.08087
290.454, 1.07663
290.126, 1.0721
289.799, 1.06731
289.472, 1.06224
289.146, 1.0569
288.821, 1.05129
288.497, 1.04543
288.173, 1.0393
287.85, 1.03292
287.528, 1.0263
287.207, 1.01942
286.886, 1.01231
286.566, 1.00495
286.246, 0.997364
285.928, 0.989547
285.61, 0.981504
285.293, 0.973241
284.976, 0.964762
284.66, 0.956071
284.404, 0.948837
284.345, 0.947173
284.031, 0.938073
283.717, 0.928775
283.404, 0.919284
283.092, 0.909606
282.78, 0.899744
282.469, 0.889704
282.159, 0.87949
281.85, 0.869108
281.541, 0.858562
281.232, 0.847858
280.925, 0.837
280.618, 0.825994
280.312, 0.814844
280.006, 0.803556
279.701, 0.792134
279.397, 0.780584
279.094, 0.768911
278.791, 0.757119
278.488, 0.745213
278.187, 0.7332
277.886, 0.721083
277.586, 0.708867
277.286, 0.696558
276.987, 0.684161
276.689, 0.671679
276.391, 0.659119
276.169, 0.649697
276.094, 0.646485
275.798, 0.633782
275.502, 0.621014
275.207, 0.608186
274.912, 0.595304
274.618, 0.58237
274.325, 0.569391
274.032, 0.556371
273.74, 0.543313
273.449, 0.530223
273.158, 0.517104
272.868, 0.503962
272.578, 0.4908
272.29, 0.477622
272.001, 0.464433
271.714, 0.451236
271.426, 0.438036
271.14, 0.424837
270.854, 0.411642
270.569, 0.398455
270.284, 0.38528
270, 0.37212
269.717, 0.358979
269.434, 0.345861
269.151, 0.332768
268.98, 0.324845
268.87, 0.319705
268.588, 0.306674
268.308, 0.293679
268.028, 0.280723
267.749, 0.267808
267.47, 0.254939
267.192, 0.242117
266.914, 0.229345
266.637, 0.216627
266.361, 0.203965
266.085, 0.191361
265.809, 0.178818
265.535, 0.166339
265.26, 0.153925
264.987, 0.14158
264.714, 0.129304
264.441, 0.117102
264.169, 0.104974
263.898, 0.092922
263.627, 0.0809489
263.357, 0.0690561
263.087, 0.0572455
262.818, 0.0455187
262.549, 0.0338775
262.281, 0.0223233
262.014, 0.0108578
261.747, -0.00051765
261.603, -0.00659749
261.48, -0.0118016
261.214, -0.0229928
260.949, -0.0340899
260.684, -0.0450917
260.42, -0.0559971
260.156, -0.066805
259.893, -0.0775143
259.63, -0.0881242
259.368, -0.0986336
259.107, -0.109042
258.846, -0.119348
258.585, -0.129551
258.325, -0.139651
258.065, -0.149647
257.806, -0.159537
257.548, -0.169323
257.29, -0.179003
257.033, -0.188576
256.776, -0.198043
256.519, -0.207403
256.263, -0.216656
256.008, -0.2258
255.753, -0.234837
255.499, -0.243767
255.245, -0.252587
255.144, -0.256065
254.991, -0.2613
254.739, -0.269904
254.486, -0.2784
254.234, -0.286787
253.983, -0.295066
253.732, -0.303236
253.482, -0.311299
253.232, -0.319253
252.983, -0.327099
252.734, -0.334837
252.485, -0.342468
252.237, -0.349991
251.99, -0.357408
251.743, -0.364717
