Au (Gold) - Johnson and Christy 1

wavelength (nm), Im(eps)
900, 2.42263
896.858, 2.39726
893.738, 2.37219
892.086, 2.35897
890.639, 2.34742
887.562, 2.32294
884.506, 2.29876
881.471, 2.27487
878.456, 2.25127
875.463, 2.22795
872.489, 2.20491
869.536, 2.18215
866.602, 2.15967
863.689, 2.13745
860.795, 2.11551
857.92, 2.09384
855.064, 2.07243
852.227, 2.05129
849.41, 2.0304
846.61, 2.00978
843.829, 1.98941
841.066, 1.9693
838.322, 1.94944
835.595, 1.92983
832.886, 1.91048
830.194, 1.89137
827.52, 1.8725
824.862, 1.85388
822.222, 1.83551
821.192, 1.82837
819.599, 1.81737
816.992, 1.79948
814.402, 1.78183
811.828, 1.76441
809.271, 1.74723
806.729, 1.73029
804.204, 1.71358
801.694, 1.69711
799.2, 1.68087
796.721, 1.66486
794.258, 1.64908
791.81, 1.63354
789.377, 1.61822
786.958, 1.60314
784.555, 1.58828
782.166, 1.57365
779.792, 1.55926
777.432, 1.54508
775.086, 1.53114
772.755, 1.51743
770.437, 1.50394
768.133, 1.49068
765.843, 1.47764
763.567, 1.46483
761.304, 1.45226
759.054, 1.4399
756.818, 1.42778
756.098, 1.42391
754.595, 1.41588
752.385, 1.40421
750.188, 1.39277
748.003, 1.38156
745.832, 1.37058
743.672, 1.35983
741.526, 1.34931
739.391, 1.33902
737.269, 1.32896
735.159, 1.31913
733.062, 1.30954
730.976, 1.30018
728.901, 1.29105
726.839, 1.28217
724.788, 1.27351
722.749, 1.2651
720.721, 1.25692
718.705, 1.24899
716.7, 1.24129
714.706, 1.23384
712.723, 1.22663
710.751, 1.21966
708.79, 1.21294
706.84, 1.20647
704.9, 1.20025
704.545, 1.19914
702.971, 1.19428
701.053, 1.18856
699.145, 1.18309
697.247, 1.17788
695.36, 1.17293
693.482, 1.16823
691.615, 1.1638
689.758, 1.15962
687.911, 1.15571
686.074, 1.15207
684.247, 1.14869
682.429, 1.14559
680.621, 1.14276
678.822, 1.1402
677.033, 1.13791
675.253, 1.13591
673.483, 1.13418
671.722, 1.13274
669.97, 1.13158
668.227, 1.13071
666.494, 1.13013
664.769, 1.12984
663.053, 1.12984
661.346, 1.13014
659.648, 1.13074
659.574, 1.13077
657.958, 1.13164
656.277, 1.13284
654.605, 1.13435
652.941, 1.13617
651.286, 1.1383
649.639, 1.14075
648, 1.14351
646.37, 1.14658
644.747, 1.14998
643.133, 1.15371
641.527, 1.15776
639.929, 1.16214
638.339, 1.16685
636.756, 1.1719
635.182, 1.17729
633.615, 1.18301
632.056, 1.18908
630.505, 1.19549
628.961, 1.20225
627.425, 1.20936
625.896, 1.21682
624.375, 1.22464
622.861, 1.23282
621.355, 1.24136
619.855, 1.25026
618.363, 1.25953
616.915, 1.26892
616.878, 1.26916
615.4, 1.27917
613.93, 1.28955
612.466, 1.3003
611.009, 1.31144
609.559, 1.32295
608.116, 1.33484
606.68, 1.34712
605.251, 1.35978
603.828, 1.37284
602.412, 1.38628
601.003, 1.40011
599.6, 1.41434
598.204, 1.42897
596.814, 1.44399
595.43, 1.45941
594.054, 1.47523
592.683, 1.49145
591.319, 1.50808
589.961, 1.52511
588.609, 1.54254
587.263, 1.56038
585.924, 1.57863
584.59, 1.59728
583.263, 1.61634
582.16, 1.63256
581.942, 1.63581
580.626, 1.65568
579.317, 1.67597
578.014, 1.69666
576.716, 1.71776
