Au (Gold) - Johnson and Christy 1

wavelength (nm), Re(eps)
900, -33.3809
896.858, -33.0955
893.738, -32.8129
892.086, -32.6636
890.639, -32.533
887.562, -32.2558
884.506, -31.9813
881.471, -31.7094
878.456, -31.4401
875.463, -31.1733
872.489, -30.9091
869.536, -30.6473
866.602, -30.3879
863.689, -30.131
860.795, -29.8764
857.92, -29.6242
855.064, -29.3743
852.227, -29.1266
849.41, -28.8812
846.61, -28.638
843.829, -28.3969
841.066, -28.158
838.322, -27.9213
835.595, -27.6866
832.886, -27.454
830.194, -27.2234
827.52, -26.9948
824.862, -26.7682
822.222, -26.5435
821.192, -26.456
819.599, -26.3207
816.992, -26.0999
814.402, -25.8809
811.828, -25.6638
809.271, -25.4484
806.729, -25.2349
804.204, -25.0232
801.694, -24.8132
799.2, -24.6049
796.721, -24.3983
794.258, -24.1934
791.81, -23.9901
789.377, -23.7885
786.958, -23.5885
784.555, -23.3901
782.166, -23.1932
779.792, -22.9979
777.432, -22.8042
775.086, -22.6119
772.755, -22.4211
770.437, -22.2318
768.133, -22.044
765.843, -21.8575
763.567, -21.6725
761.304, -21.4889
759.054, -21.3067
756.818, -21.1258
756.098, -21.0675
754.595, -20.9462
752.385, -20.768
750.188, -20.5911
748.003, -20.4154
745.832, -20.2411
743.672, -20.068
741.526, -19.8961
739.391, -19.7255
737.269, -19.5561
735.159, -19.3879
733.062, -19.2208
730.976, -19.055
728.901, -18.8902
726.839, -18.7266
724.788, -18.5642
722.749, -18.4028
720.721, -18.2426
718.705, -18.0834
716.7, -17.9253
714.706, -17.7682
712.723, -17.6122
710.751, -17.4573
708.79, -17.3033
706.84, -17.1504
704.9, -16.9984
704.545, -16.9707
702.971, -16.8475
701.053, -16.6975
699.145, -16.5484
697.247, -16.4004
695.36, -16.2532
693.482, -16.107
691.615, -15.9617
689.758, -15.8174
687.911, -15.6739
686.074, -15.5313
684.247, -15.3896
682.429, -15.2487
680.621, -15.1088
678.822, -14.9696
677.033, -14.8313
675.253, -14.6939
673.483, -14.5573
671.722, -14.4215
669.97, -14.2865
668.227, -14.1523
666.494, -14.0189
664.769, -13.8863
663.053, -13.7544
661.346, -13.6234
659.648, -13.4931
659.574, -13.4875
657.958, -13.3635
656.277, -13.2348
654.605, -13.1067
652.941, -12.9794
651.286, -12.8529
649.639, -12.727
648, -12.6019
646.37, -12.4775
644.747, -12.3538
643.133, -12.2309
641.527, -12.1086
639.929, -11.987
638.339, -11.8661
636.756, -11.7459
635.182, -11.6264
633.615, -11.5076
632.056, -11.3894
630.505, -11.2719
628.961, -11.1551
627.425, -11.039
625.896, -10.9235
624.375, -10.8086
622.861, -10.6945
621.355, -10.5809
619.855, -10.4681
618.363, -10.3559
616.915, -10.2471
616.878, -10.2443
615.4, -10.1334
613.93, -10.0231
612.466, -9.9135
611.009, -9.80451
609.559, -9.69617
608.116, -9.58848
606.68, -9.48142
605.251, -9.375
603.828, -9.26922
602.412, -9.16409
601.003, -9.05959
599.6, -8.95573
598.204, -8.85252
596.814, -8.74995
595.43, -8.64802
594.054, -8.54673
592.683, -8.44609
591.319, -8.3461
589.961, -8.24675
588.609, -8.14805
587.263, -8.05001
585.924, -7.95262
584.59, -7.85588
583.263, -7.75981
582.16, -7.68011
581.942, -7.66439
580.626, -7.56964
579.317, -7.47555
578.014, -7.38213
576.716, -7.28939
575.424, -7.19732
574.138, -7.10593
572.858, -7.01523
571.583, -6.92521
570.314, -6.83588
569.051, -6.74724
567.793, -6.65931
566.541, -6.57207
565.294, -6.48554
564.053, -6.39972
562.817, -6.31462
561.587, -6.23023
560.361, -6.14657
559.142, -6.06364
557.927, -5.98144
556.718, -5.89998
555.514, -5.81926
554.316, -5.73929
553.122, -5.66008
551.934, -5.58161
550.75, -5.50392
549.572, -5.42698
548.673, -5.36855
548.399, -5.35082
547.231, -5.27544
546.067, -5.20084
544.909, -5.12702
543.756, -5.054
542.607, -4.98177
541.463, -4.91034
540.325, -4.83971
539.19, -4.7699
538.061, -4.70089
536.936, -4.63271
535.816, -4.56535
534.701, -4.49882
533.591, -4.43311
532.484, -4.36824
531.383, -4.30421
530.286, -4.24102
529.194, -4.17867
528.106, -4.11717
527.022, -4.05653
525.943, -3.99673
524.869, -3.9378
523.798, -3.87972
522.733, -3.8225
521.671, -3.76615
521.008, -3.73129
520.614, -3.71066
519.561, -3.65603
518.512, -3.60228
517.468, -3.54939
516.427, -3.49737
515.391, -3.44622
514.359, -3.39594
513.331, -3.34653
512.308, -3.29799
511.288, -3.25031
510.272, -3.2035
509.261, -3.15756
508.253, -3.11248
507.25, -3.06827
506.25, -3.02491
505.254, -2.98241
504.262, -2.94077
503.275, -2.89997
502.291, -2.86002
501.31, -2.82092
500.334, -2.78265
499.361, -2.74522
498.392, -2.70861
497.427, -2.67283
496.466, -2.63787
496, -2.62117
495.508, -2.60372
494.554, -2.57038
493.604, -2.53784
492.658, -2.50609
491.715, -2.47512
490.775, -2.44494
489.839, -2.41552
488.907, -2.38687
487.978, -2.35896
487.053, -2.33181
486.131, -2.30539
485.213, -2.2797
484.298, -2.25472
483.387, -2.23046
482.479, -2.20689
481.575, -2.18401
480.674, -2.16181
479.776, -2.14027
478.881, -2.1194
477.99, -2.09916
477.103, -2.07956
476.218, -2.06059
475.337, -2.04222
474.459, -2.02446
473.584, -2.00728
472.713, -1.99068
471.845, -1.97465
471.483, -1.96811
470.98, -1.95916
470.118, -1.94422
469.259, -1.9298
468.403, -1.9159
467.551, -1.9025
466.701, -1.8896
465.855, -1.87717
465.012, -1.8652
464.171, -1.85369
463.334, -1.84262
462.5, -1.83198
461.669, -1.82175
460.841, -1.81193
460.015, -1.8025
459.193, -1.79344
458.374, -1.78475
457.557, -1.77641
456.744, -1.76842
455.933, -1.76075
455.125, -1.7534
454.32, -1.74635
453.518, -1.7396
452.719, -1.73313
451.923, -1.72693
451.129, -1.72099
450.909, -1.71938
450.338, -1.71529
449.55, -1.70983
448.765, -1.70459
447.982, -1.69957
447.202, -1.69475
446.425, -1.69013
445.651, -1.68568
444.879, -1.68141
444.11, -1.67729
443.343, -1.67333
442.579, -1.66951
441.818, -1.66583
441.06, -1.66226
440.304, -1.65881
439.55, -1.65547
438.799, -1.65222
438.051, -1.64905
437.305, -1.64597
436.562, -1.64296
435.822, -1.64001
435.083, -1.63711
434.348, -1.63426
433.615, -1.63145
432.884, -1.62868
432.156, -1.62593
431.43, -1.6232
430.707, -1.62048
430.556, -1.61991
429.986, -1.61777
429.267, -1.61505
428.551, -1.61234
427.837, -1.60961
427.126, -1.60686
426.417, -1.60409
425.71, -1.60129
425.006, -1.59846
424.304, -1.59559
423.604, -1.59268
422.907, -1.58972
422.212, -1.58671
421.519, -1.58364
420.828, -1.58052
420.14, -1.57733
419.454, -1.57408
418.77, -1.57076
418.089, -1.56736
417.409, -1.56389
416.732, -1.56034
416.057, -1.55671
415.385, -1.55299
414.714, -1.54919
414.046, -1.5453
413.379, -1.54132
413.333, -1.54104
412.715, -1.53725
412.053, -1.53309
411.393, -1.52882
410.735, -1.52447
410.08, -1.52001
409.426, -1.51545
408.775, -1.5108
408.125, -1.50604
407.478, -1.50118
406.833, -1.49622
406.189, -1.49115
405.548, -1.48599
404.909, -1.48072
404.272, -1.47534
403.636, -1.46986
403.003, -1.46428
402.372, -1.45859
401.743, -1.45281
401.115, -1.44692
400.49, -1.44092
399.867, -1.43483
399.245, -1.42864
398.626, -1.42235
398.008, -1.41596
397.436, -1.40993
397.392, -1.40947
396.778, -1.40289
396.167, -1.39621
395.557, -1.38944
394.948, -1.38258
394.342, -1.37564
393.738, -1.3686
393.135, -1.36148
392.534, -1.35427
391.935, -1.34698
391.338, -1.33962
390.743, -1.33217
390.15, -1.32465
389.558, -1.31706
388.968, -1.3094
388.38, -1.30167
387.794, -1.29388
387.209, -1.28603
386.627, -1.27811
386.046, -1.27014
385.466, -1.26212
384.889, -1.25405
384.313, -1.24593
383.739, -1.23777
383.166, -1.22957
382.596, -1.22134
382.027, -1.21307
381.538, -1.20593
381.459, -1.20477
380.894, -1.19645
380.33, -1.18811
379.768, -1.17975
379.207, -1.17137
378.648, -1.16299
378.091, -1.1546
377.535, -1.14622
376.981, -1.13783
376.429, -1.12945
375.878, -1.12109
375.329, -1.11274
374.781, -1.10442
374.235, -1.09612
373.691, -1.08785
373.148, -1.07962
372.607, -1.07143
372.067, -1.06328
371.529, -1.05519
370.992, -1.04715
370.457, -1.03917
369.924, -1.03126
369.392, -1.02342
368.862, -1.01566
368.333, -1.00798
367.953, -1.0025
367.805, -1.00039
367.279, -0.992889
366.755, -0.98549
366.232, -0.978196
365.711, -0.971013
365.191, -0.963945
364.672, -0.956999
364.156, -0.950181
363.64, -0.943496
363.126, -0.93695
362.613, -0.930549
362.102, -0.924298
361.593, -0.918204
361.084, -0.912273
360.578, -0.906509
360.072, -0.900919
359.568, -0.895509
359.065, -0.890284
358.564, -0.88525
358.065, -0.880412
357.566, -0.875776
357.069, -0.871348
356.573, -0.867132
356.079, -0.863134
355.586, -0.859359
355.095, -0.855813
354.605, -0.852499
354.286, -0.850465
354.116, -0.849422
353.628, -0.846587
353.142, -0.843998
352.657, -0.841658
352.174, -0.839573
351.692, -0.837744
351.211, -0.836175
350.731, -0.834868
350.253, -0.833827
349.776, -0.833052
349.301, -0.832545
348.826, -0.832307
348.353, -0.832338
347.882, -0.832638
347.411, -0.833206
346.942, -0.83404
346.474, -0.835138
346.007, -0.836496
345.542, -0.838111
345.078, -0.839976
344.615, -0.842086
344.153, -0.844434
343.693, -0.84701
343.233, -0.849805
342.775, -0.852808
342.541, -0.854422
342.319, -0.856006
341.863, -0.859385
341.409, -0.862928
340.956, -0.866619
340.504, -0.870438
340.053, -0.874363
339.603, -0.878372
339.155, -0.882439
338.708, -0.886537
338.262, -0.890637
337.817, -0.894707
337.373, -0.898713
336.931, -0.902621
336.49, -0.906393
336.049, -0.90999
335.61, -0.913371
335.172, -0.916493
334.736, -0.919314
334.3, -0.92179
333.866, -0.923876
333.432, -0.925527
333, -0.926701
332.569, -0.927354
332.139, -0.927446
331.71, -0.926938
331.551, -0.92659
331.282, -0.925797
330.856, -0.923991
330.43, -0.921495
330.006, -0.918287
329.582, -0.914355
329.16, -0.90969
328.739, -0.904294
328.318, -0.898175
327.899, -0.89135
327.481, -0.883843
327.064, -0.875689
326.649, -0.866929
326.234, -0.857614
325.82, -0.847799
325.407, -0.837549
324.995, -0.826933
324.585, -0.816025
324.175, -0.804901
323.767, -0.79364
323.359, -0.782324
322.953, -0.771032
322.547, -0.759841
322.143, -0.748829
321.739, -0.738068
321.337, -0.727625
320.935, -0.717562
320.535, -0.707937
320.413, -0.705111
320.135, -0.698801
319.737, -0.690197
319.339, -0.682164
318.943, -0.674731
318.547, -0.667925
318.153, -0.661764
317.759, -0.656259
317.367, -0.651419
316.975, -0.647245
316.585, -0.643735
316.195, -0.640882
315.806, -0.638676
315.418, -0.637104
315.032, -0.636148
314.646, -0.635791
314.261, -0.636011
313.877, -0.636788
313.494, -0.638098
313.112, -0.639916
312.73, -0.642219
312.35, -0.644982
311.971, -0.648178
311.592, -0.651785
311.215, -0.655776
310.838, -0.660127
310.777, -0.660871
310.463, -0.664815
310.088, -0.669817
309.714, -0.675109
309.341, -0.680669
308.969, -0.686477
308.598, -0.692512
308.228, -0.698755
307.858, -0.705185
307.49, -0.711786
307.122, -0.71854
306.755, -0.725431
306.39, -0.732442
306.025, -0.73956
305.66, -0.746769
305.297, -0.754057
304.935, -0.76141
304.573, -0.768817
304.212, -0.776266
303.853, -0.783746
303.494, -0.791248
303.136, -0.79876
302.778, -0.806276
302.422, -0.813785
302.066, -0.82128
301.711, -0.828753
301.357, -0.836197
301.004, -0.843606
300.971, -0.844308
300.652, -0.850974
300.301, -0.858293
299.95, -0.86556
299.6, -0.872768
299.251, -0.879914
298.903, -0.886992
